                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8819,                 4.2549,                 4.2323,                      0,                      0,                      0,                      0,                 2.5819,                 8.8625,                 2.7593,                 0.0004,                 0.0004,                 0.0004
                      2,                0.31543,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,             0.00079641,             0.00079641,             0.00079641
                      3,                      0,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,              0.0011765,              0.0011765,              0.0011765
                      4,                      0,                    nan,                    nan,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,              0.0011757,              0.0011757,              0.0011757
