                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8824,                 4.2502,                 4.2355,                   0.05,                0.05102,                0.03105,                0.00592,                 2.5926,                 4.5208,                 4.1567,                 0.0004,                 0.0004,                 0.0004
                      2,                  2.433,                 3.1496,                 3.7319,                0.04032,                0.10204,                0.02893,                 0.0077,                 2.7271,                 4.6748,                  4.274,             0.00079641,             0.00079641,             0.00079641
                      3,                 2.1935,                  2.721,                 3.2898,                0.01031,                0.08653,                0.01246,                0.00377,                 2.2949,                 4.1583,                 3.8282,              0.0011765,              0.0011765,              0.0011765
                      4,                 2.1346,                 2.5257,                 3.1617,                0.50247,                0.31567,                 0.3394,                0.10012,                  2.001,                 2.8589,                 3.2691,              0.0011757,              0.0011757,              0.0011757
                      5,                 2.0505,                 2.3034,                 3.0035,                0.54549,                0.30106,                0.43908,                0.16725,                 1.9825,                 2.6067,                 3.3083,               0.001151,               0.001151,               0.001151
                      6,                 1.9924,                 2.1502,                 2.9791,                0.39964,                0.20758,                0.21162,                0.09197,                  1.876,                 3.0921,                 3.2446,              0.0011263,              0.0011263,              0.0011263
                      7,                  1.912,                 1.9544,                 2.8477,                0.71479,                0.49702,                 0.5408,                0.24423,                 1.7059,                  2.029,                    2.9,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.8816,                 1.8167,                 2.8314,                0.60437,                0.66383,                0.64529,                0.26802,                 1.9221,                  2.994,                  3.163,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.8439,                 1.7294,                 2.7905,                0.70364,                0.69578,                0.78842,                0.42575,                 1.5821,                 2.1474,                 2.8676,               0.001052,               0.001052,               0.001052
                     10,                 1.7399,                 1.5902,                 2.6836,                0.79265,                0.70807,                0.82246,                0.47215,                 1.5198,                 1.7538,                 2.7784,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.7223,                 1.5056,                  2.661,                0.40661,                0.24356,                0.22946,                0.14365,                 1.5351,                 2.8877,                 2.7639,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.6768,                 1.4499,                 2.6313,                0.57092,                0.09088,                0.11563,                 0.0773,                 1.4661,                 4.7249,                 2.7493,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.6168,                 1.4074,                 2.5842,                0.69561,                0.73898,                0.79072,                0.49749,                 1.4914,                 2.0795,                 2.7316,               0.000953,               0.000953,               0.000953
                     14,                 1.5846,                 1.2909,                 2.5421,                0.75964,                0.74273,                0.83565,                0.51054,                 1.4398,                 1.4776,                  2.741,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.5562,                 1.2779,                 2.5212,                0.77968,                0.85693,                0.87277,                0.57006,                 1.3317,                 1.2894,                 2.5402,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.5415,                 1.2623,                 2.5504,                0.84645,                 0.8579,                0.91121,                0.60738,                 1.3083,                 1.1845,                 2.5729,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.5355,                 1.2053,                 2.4697,                0.87139,                0.81493,                0.92529,                0.62206,                 1.2946,                 1.2168,                 2.5826,               0.000854,               0.000854,               0.000854
                     18,                 1.5096,                 1.1601,                 2.4759,                0.86746,                0.83905,                0.90386,                0.62764,                 1.2018,                 1.2294,                 2.5006,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.4778,                 1.1069,                 2.4508,                0.81772,                0.83834,                0.90835,                0.62547,                 1.2171,                 1.1017,                 2.4781,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.4342,                 1.0762,                 2.4817,                 0.8596,                0.86442,                0.91615,                0.65076,                 1.1567,                 1.0275,                 2.4619,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.4232,                 1.0558,                 2.4186,                 0.9502,                0.85073,                0.94098,                0.68281,                 1.1257,                 1.0285,                 2.4186,               0.000755,               0.000755,               0.000755
                     22,                 1.3803,                  1.008,                 2.3646,                0.86564,                0.84505,                0.92236,                0.65658,                 1.1264,                 1.0187,                 2.4224,             0.00073025,             0.00073025,             0.00073025
